,para,equity_curve
4256,"[950, 3.1]",0.5581930586727949
3232,"[720, 4.2]",0.5580726024289623
1569,"[350, 4.4]",0.5570380402241581
2501,"[560, 3.1]",0.5542054041731891
2413,"[540, 3.3]",0.5539575221685217
2734,"[610, 3.9]",0.553792653300848
4259,"[950, 3.4]",0.5537576597939171
1294,"[290, 3.9]",0.5523673919068055
1114,"[250, 3.9]",0.5489643921195659
3843,"[860, 2.3]",0.5488413464330912
1115,"[250, 4.0]",0.5486406343262263
4440,"[990, 3.5]",0.5486281490575464
1888,"[420, 4.8]",0.5453867857997088
4391,"[980, 3.1]",0.545259134403021
3406,"[760, 3.6]",0.5445643454711707
1563,"[350, 3.8]",0.5444226553063517
3673,"[820, 3.3]",0.5441252110812628
1664,"[370, 4.9]",0.5434513103070843
3099,"[690, 4.4]",0.5428249856464152
4171,"[930, 3.6]",0.542541858921147
1662,"[370, 4.7]",0.5422720968354255
2239,"[500, 3.9]",0.5410540137061677
3991,"[890, 3.6]",0.540888367073936
582,"[130, 4.7]",0.5391782028152261
